# CSRF debug log
# Created: 2025-10-17 00:00:00
# Entries appended here by add_staff.php when CSRF mismatches occur.

2025-10-17 13:34:11 CSRF_MISMATCH | ip=127.0.0.1 | posted=3ab087f501b21056c6ef
2025-10-17 13:34:18 CSRF_MISMATCH | ip=127.0.0.1 | posted=3ab087f501b21056c6ef
2025-10-17 13:36:38 CSRF_MISMATCH | ip=127.0.0.1 | posted=109df0680aad49c9cede
2025-10-17 13:43:08 CSRF_MISMATCH | ip=127.0.0.1 | posted=c4323468ceeeefb8b1e5
2025-10-17 13:52:06 CSRF_MISMATCH | ip=127.0.0.1 | posted=e1226d757a0c412eb101 | session=
2025-10-17 13:53:35 CSRF_MISMATCH | ip=127.0.0.1 | posted=e1226d757a0c412eb101 | session=
2025-10-19 11:15:31 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:16:00 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:16:30 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:16:55 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:17:09 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:19:18 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:24:30 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:24:50 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:26:07 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:26:21 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:31:28 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:42:51 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:44:52 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:47:41 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:50:15 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:52:08 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:52:20 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:52:48 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:53:15 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:53:23 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:00:27 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:00:52 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:02:58 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:03:10 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:06:15 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:10:51 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:13:21 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:15:38 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:17:34 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:17:40 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:17:48 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:17:52 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:17:56 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:22:01 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:24:31 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:26:43 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:29:54 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:31:28 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:34:44 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:36:08 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:36:29 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:36:53 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:38:11 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:38:56 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:42:15 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:43:01 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:48:06 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:51:56 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 12:55:35 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:05:16 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:05:52 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:06:04 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:06:15 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:09:05 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:12:11 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:12:33 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:12:43 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:12:47 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:37:25 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:43:23 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:47:06 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:48:28 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:52:48 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:54:35 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:54:43 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:57:04 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 13:57:20 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 14:03:35 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 14:08:17 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 14:08:26 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 14:09:01 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 14:26:06 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 14:30:28 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 14:30:44 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 00:39:53 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=0 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache","Set-Cookie: csrf_add_staff=e29062360243d61b93ffd73664fe89
2025-10-20 00:40:37 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 00:40:53 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 00:41:40 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 00:59:53 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 01:06:24 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 01:11:09 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 01:11:23 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 01:20:45 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 01:36:30 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 01:39:33 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 01:39:54 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 01:53:57 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 01:54:07 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 01:54:21 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 01:57:10 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 02:02:56 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 02:03:29 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 02:05:01 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 02:06:15 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-20 02:06:59 TOKEN_INIT | ip=::1 | session=e29062360243d61b93ff | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
